"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"289","ENSG00000136193",17145.56,-0.4433463,0.10188397,1.154126e-07,9.089469e-06,"SCRN1","DOWN"
"290","ENSG00000136267",280.1045,-1.363463,0.2496702,7.625433e-10,9.657508e-08,"DGKB","DOWN"
"291","ENSG00000136531",502.7964,-0.5934042,0.21756325,5.848397e-05,0.001926579,"SCN2A","DOWN"
"292","ENSG00000136542",85.59412,-0.9246236,0.65413835,0.0004328594,0.01025729,"GALNT5","DOWN"
"293","ENSG00000136710",272.2513,-0.3644976,0.26674842,0.003320422,0.04904491,"CCDC115","DOWN"
"294","ENSG00000136869",2108.815,-0.6659712,0.13384414,1.796486e-08,1.692127e-06,"TLR4","DOWN"
"295","ENSG00000136942",7593.38,-0.2302875,0.10543204,0.001705923,0.03030883,"RPL35","DOWN"
"296","ENSG00000136960",184.3156,-0.987471,0.32093581,1.743879e-05,0.0007059884,"ENPP2","DOWN"
"297","ENSG00000136999",1843.331,-0.4078119,0.14433781,5.483841e-05,0.001822502,"CCN3","DOWN"
"298","ENSG00000137177",3424.051,-0.3695049,0.12468118,4.473373e-05,0.001560847,"KIF13A","DOWN"
"299","ENSG00000137285",2965.225,-0.2685269,0.12517026,0.001181276,0.02289411,"TUBB2B","DOWN"
"300","ENSG00000137309",10749.57,-0.3766394,0.13026484,5.350158e-05,0.001793978,"HMGA1","DOWN"
"301","ENSG00000137364",888.9471,-0.4364915,0.17971321,0.0001647885,0.004651801,"TPMT","DOWN"
"302","ENSG00000137474",226.8551,-0.574507,0.2885151,0.000398221,0.009622751,"MYO7A","DOWN"
"303","ENSG00000137558",281.0059,-1.374929,0.25752512,1.480259e-09,1.74503e-07,"PI15","DOWN"
"304","ENSG00000137642",870.7898,-0.7259501,0.1798354,1.12617e-06,6.875874e-05,"SORL1","DOWN"
"305","ENSG00000137691",195.4406,-0.4227717,0.33690402,0.003189536,0.04759925,"CFAP300","DOWN"
"306","ENSG00000137710",15691.6,-0.2446467,0.10601037,0.00106304,0.02119021,"RDX","DOWN"
"307","ENSG00000137745",90.0736,-0.4989615,0.46627322,0.003042512,0.04613984,"MMP13","DOWN"
"308","ENSG00000137760",1529.031,-0.4210762,0.1704383,0.0001538894,0.004390416,"ALKBH8","DOWN"
"309","ENSG00000137841",981.7019,-0.5879441,0.15270678,1.424345e-06,8.422056e-05,"PLCB2","DOWN"
"310","ENSG00000137872",54.52125,-0.464374,0.62911596,0.003340843,0.04926889,"SEMA6D","DOWN"
"311","ENSG00000137959",450.9255,-1.785825,0.25603302,6.759517e-14,1.89105e-11,"IFI44L","DOWN"
"312","ENSG00000137965",1070.619,-1.637345,0.16588164,1.420724e-24,1.479447e-21,"IFI44","DOWN"
"313","ENSG00000138119",2325.068,-0.4652752,0.17460478,7.565827e-05,0.0024118,"MYOF","DOWN"
"314","ENSG00000138185",16.46162,-0.4806891,0.7755292,0.00138929,0.02598887,"ENTPD1","DOWN"
"315","ENSG00000138326",34350.75,-0.301247,0.13948675,0.0008065119,0.01694607,"RPS24","DOWN"
"316","ENSG00000138385",8650.969,-0.2398948,0.11725812,0.002082853,0.03501435,"SSB","DOWN"
"317","ENSG00000138411",412.2332,-1.837719,0.23794988,2.87336e-16,1.224051e-13,"HECW2","DOWN"
"318","ENSG00000138413",7123.826,-0.204735,0.1009519,0.003366976,0.04957628,"IDH1","DOWN"
"319","ENSG00000138449",1421.565,-0.5526623,0.14378473,1.276767e-06,7.645918e-05,"SLC40A1","DOWN"
"320","ENSG00000138641",1584.6,-0.8018049,0.15224539,7.029701e-09,7.444334e-07,"HERC3","DOWN"
"321","ENSG00000138735",565.1483,-0.570064,0.27538813,0.0003326661,0.008291879,"PDE5A","DOWN"
"322","ENSG00000138738",396.4823,-0.9380758,0.24917765,2.802274e-06,0.0001505038,"PRDM5","DOWN"
"323","ENSG00000138759",2190.642,-0.2605507,0.13003178,0.001792344,0.03151566,"FRAS1","DOWN"
"324","ENSG00000138829",12916.95,-0.426284,0.10516868,4.767465e-07,3.321984e-05,"FBN2","DOWN"
"325","ENSG00000138964",1172.852,-0.6011782,0.15132135,9.361518e-07,5.849076e-05,"PARVG","DOWN"
"326","ENSG00000139112",1148.067,-0.8931232,0.14724437,8.075148e-11,1.250914e-08,"GABARAPL1","DOWN"
"327","ENSG00000139168",3308.15,-0.4643163,0.12628801,2.124478e-06,0.0001195833,"ZCRB1","DOWN"
"328","ENSG00000139209",132.1679,-1.058536,0.34594,1.616851e-05,0.0006631564,"SLC38A4","DOWN"
"329","ENSG00000139278",1011.47,-0.5767558,0.16926571,6.882963e-06,0.0003177691,"GLIPR1","DOWN"
"330","ENSG00000139329",60.85863,-2.071224,0.44424514,1.660716e-08,1.580125e-06,"LUM","DOWN"
"331","ENSG00000139508",157.1992,-0.7418047,0.39533653,0.0003562435,0.008797664,"SLC46A3","DOWN"
"332","ENSG00000139620",1186.863,-0.2574977,0.144283,0.002989852,0.04561784,"KANSL2","DOWN"
