"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"7975","ENSG00000143614",2294.152,0.05539367,0.05141758,0.278025,0.4129637,"GATAD2B","NO"
"7976","ENSG00000143621",13035.21,-0.6811612,0.03147248,1.866689e-104,2.145234e-102,"ILF2","DOWN"
"7977","ENSG00000143622",823.3373,-0.2431378,0.09398581,0.008072908,0.01956383,"RIT1","DOWN"
"7978","ENSG00000143624",3824.568,-0.6010199,0.04344048,5.515934e-44,1.497037e-42,"INTS3","DOWN"
"7979","ENSG00000143627",3.687261,-0.1310036,0.51877042,0.5539946,0.6856569,"PKLR","NO"
"7980","ENSG00000143630",619.1084,0.09037773,0.10836675,0.3898096,0.5317887,"HCN3","NO"
"7981","ENSG00000143631",14.69652,0.6098622,0.50551338,0.03532497,0.07320112,"FLG","NO"
"7982","ENSG00000143632",13.12954,-0.7106392,0.54872052,0.01915665,0.0425495,"ACTA1","DOWN"
"7983","ENSG00000143633",872.6767,0.004242687,0.08367074,0.958818,0.9777391,"C1orf131","NO"
"7984","ENSG00000143641",4072.326,-0.1219963,0.04255599,0.003971793,0.01023924,"GALNT2","DOWN"
"7985","ENSG00000143643",553.4289,-0.2606956,0.11267984,0.01667432,0.03762337,"TTC13","DOWN"
"7986","ENSG00000143653",628.7841,-0.1733424,0.0957855,0.06371873,0.1223207,"SCCPDH","NO"
"7987","ENSG00000143669",696.3792,0.9992479,0.1356891,8.817649e-15,6.862837e-14,"LYST","UP"
"7988","ENSG00000143674",1535.859,0.01906494,0.0638892,0.762968,0.8510991,"MAP3K21","NO"
"7989","ENSG00000143702",4113.921,-0.1537032,0.05273062,0.003320792,0.008678582,"CEP170","DOWN"
"7990","ENSG00000143727",3331.95,-0.3717903,0.04890866,1.972475e-14,1.508061e-13,"ACP1","DOWN"
"7991","ENSG00000143740",2255.947,-0.4288126,0.05329693,5.061697e-16,4.209813e-15,"SNAP47","DOWN"
"7992","ENSG00000143742",13155.86,-0.2535677,0.03740174,1.008331e-11,6.400697e-11,"SRP9","DOWN"
"7993","ENSG00000143748",1791.63,-0.1602407,0.06581316,0.01378482,0.03178287,"NVL","DOWN"
"7994","ENSG00000143751",3285.249,-0.103745,0.04702481,0.02648761,0.0567274,"SDE2","NO"
"7995","ENSG00000143753",3915.053,-0.4845647,0.05314367,3.895645e-20,3.99616e-19,"DEGS1","DOWN"
"7996","ENSG00000143756",2004.655,-0.7886813,0.06285189,6.66781e-37,1.366065e-35,"FBXO28","DOWN"
"7997","ENSG00000143761",12118.31,-0.1408564,0.03553331,6.970599e-05,0.0002379061,"ARF1","DOWN"
"7998","ENSG00000143768",4.556137,0.3247045,0.58248751,0.1662085,0.2728714,"LEFTY2","NO"
"7999","ENSG00000143771",2081.492,-0.3477906,0.06074806,7.306162e-09,3.739514e-08,"CNIH4","DOWN"
"8000","ENSG00000143772",592.6328,-0.04941889,0.10187885,0.6182379,0.7405197,"ITPKB","NO"
"8001","ENSG00000143774",2724.753,-0.2346284,0.05024456,2.581569e-06,1.049803e-05,"GUK1","DOWN"
"8002","ENSG00000143776",2953.877,-0.1456105,0.0721677,0.04080078,0.08290534,"CDC42BPA","NO"
"8003","ENSG00000143786",106.0088,0.2397049,0.20802745,0.1962036,0.3117023,"CNIH3","NO"
"8004","ENSG00000143793",2271.188,-0.5395256,0.05644745,5.183748e-22,5.850608e-21,"C1orf35","DOWN"
"8005","ENSG00000143797",1538.045,0.3526055,0.10212013,0.00038114,0.001166739,"MBOAT2","UP"
"8006","ENSG00000143799",32289.19,-0.7859328,0.03519918,3.31477e-111,4.353595e-109,"PARP1","DOWN"
"8007","ENSG00000143801",748.8571,-0.3660748,0.09300919,5.562819e-05,0.0001924179,"PSEN2","DOWN"
"8008","ENSG00000143811",2846.164,-0.3764988,0.05152228,1.817135e-13,1.3001e-12,"PYCR2","DOWN"
"8009","ENSG00000143815",8458.029,-0.1497823,0.03831079,8.678385e-05,0.0002921705,"LBR","DOWN"
"8010","ENSG00000143816",91.31581,1.100244,0.25444608,4.068356e-07,1.77996e-06,"WNT9A","UP"
"8011","ENSG00000143819",931.9933,-0.3085965,0.09489841,0.0008607809,0.002486087,"EPHX1","DOWN"
"8012","ENSG00000143839",0.1900498,-0.02852766,0.64136154,0.7763441,NA,"REN","NO"
"8013","ENSG00000143842",489.5124,0.0446169,0.10458444,0.6607196,0.7731639,"SOX13","NO"
"8014","ENSG00000143845",704.1569,-0.02049849,0.09433871,0.8240282,0.8923771,"ETNK2","NO"
"8015","ENSG00000143847",309.8905,1.662894,0.14607535,3.56544e-32,6.170308e-31,"PPFIA4","UP"
"8016","ENSG00000143850",88.01656,0.4134027,0.26121721,0.05807794,0.1128271,"PLEKHA6","NO"
"8017","ENSG00000143851",4.65388,-0.06399641,0.51056714,0.769852,0.8551649,"PTPN7","NO"
"8018","ENSG00000143858",169.4816,0.268104,0.17258992,0.09262782,0.1684385,"SYT2","NO"
"8019","ENSG00000143862",640.1998,0.1743516,0.09222811,0.05317846,0.1045982,"ARL8A","NO"
"8020","ENSG00000143867",36.75682,0.09169406,0.32304224,0.7050758,0.8078459,"OSR1","NO"
"8021","ENSG00000143869",1064.128,0.5530303,0.07491872,6.407946e-14,4.727226e-13,"GDF7","UP"
"8022","ENSG00000143870",9074.553,-0.4849272,0.03512646,1.212826e-43,3.255597e-42,"PDIA6","DOWN"
"8023","ENSG00000143878",4760.718,0.7981409,0.05353279,4.5171e-51,1.564675e-49,"RHOB","UP"
"8024","ENSG00000143882",117.0583,0.555184,0.23343801,0.00600677,0.01494243,"ATP6V1C2","UP"
"8025","ENSG00000143889",1426.506,-0.2206814,0.06719622,0.0008870398,0.002557498,"HNRNPLL","DOWN"
"8026","ENSG00000143891",896.5541,-0.4574837,0.081973,1.295696e-08,6.513905e-08,"GALM","DOWN"
"8027","ENSG00000143919",223.3641,-0.1161368,0.15702401,0.4301219,0.5709322,"CAMKMT","NO"
"8028","ENSG00000143921",1.110103,0.1380005,0.6298926,0.3530451,NA,"ABCG8","NO"
"8029","ENSG00000143924",4104.258,-0.2845462,0.04274382,2.227456e-11,1.379035e-10,"EML4","DOWN"
"8030","ENSG00000143933",9764.091,-0.2750698,0.03785017,2.970178e-13,2.091161e-12,"CALM2","DOWN"
"8031","ENSG00000143942",563.313,-0.4042732,0.1061839,8.585738e-05,0.0002893163,"CHAC2","DOWN"
"8032","ENSG00000143947",19141.8,-0.4879922,0.0353887,1.494578e-43,4.007032e-42,"RPS27A","DOWN"
"8033","ENSG00000143951",184.4378,0.2208199,0.2059246,0.2301972,0.3554941,"WDPCP","NO"
"8034","ENSG00000143952",1045.931,-0.03472774,0.07911781,0.6555003,0.7697096,"VPS54","NO"
"8035","ENSG00000143954",0.1605971,0.0187898,0.64031258,0.8514113,NA,"REG3G","NO"
"8036","ENSG00000143970",1782.368,-0.3077979,0.2858236,0.1808006,0.2915137,"ASXL2","NO"
"8037","ENSG00000143971",767.4971,-0.06308937,0.08279123,0.4378966,0.5786781,"ETAA1","NO"
"8038","ENSG00000143977",3609.09,-0.8327843,0.05033749,2.35908e-62,1.08444e-60,"SNRPG","DOWN"
