gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000106853	733.804	1.009186	0.09522012	1.449363e-27	2.1025769999999998e-26
ENSG00000107099	182.365	1.087962	0.28393503	3.601361e-06	1.445326e-05
ENSG00000107371	811.8568	-1.083275	0.09064144	1.9113969999999998e-34	3.5893590000000004e-33
ENSG00000107551	210.7024	1.842321	0.18290575	8.784083e-26	1.181114e-24
ENSG00000107562	200.163	1.698951	0.19645786	3.846224e-20	3.9472989999999997e-19
ENSG00000107736	251.4643	2.955131	0.19254789	2.7436889999999997e-56	1.0772150000000001e-54
ENSG00000107796	68.18291	2.398293	0.32228896	9.025184e-16	7.408508e-15
ENSG00000107815	1878.244	-1.109969	0.0590572	2.094624e-80	1.467234e-78
ENSG00000108018	245.4977	2.064272	0.16436298	8.238348999999999e-38	1.7461979999999998e-36
ENSG00000108375	390.6736	-1.439378	0.15937326	9.864903e-22	1.10045e-20
ENSG00000108387	182.5028	1.19032	0.17869016	4.299892e-13	2.985435e-12
ENSG00000108592	4409.337	-1.078062	0.04745729	9.601811e-116	1.358102e-113
ENSG00000108622	43.77439	1.10277	0.36170584	6.071287e-05	0.0002088602
ENSG00000108671	8114.23	-1.250835	0.04502324	7.252227e-172	2.6670070000000005e-169
ENSG00000108950	36.17385	1.657551	0.52374796	8.732903e-06	3.337806e-05
ENSG00000108961	969.3947	-1.077093	0.07741941	1.660773e-45	4.752913e-44
ENSG00000109062	1976.996	-1.11235	0.06220953	4.1262940000000004e-73	2.415031e-71
ENSG00000109339	43.71309	1.944812	0.39867279	6.688387e-09	3.438473e-08
ENSG00000109534	2061.072	-1.078868	0.06465066	4.982784e-64	2.3644110000000002e-62
ENSG00000109927	95.51009	1.014022	0.30417134	3.486027e-05	0.0001238634
ENSG00000109956	543.9783	1.247397	0.10949845	4.978413e-32	8.548536e-31
ENSG00000110002	173.7837	1.843356	0.19340825	1.8076740000000002e-23	2.18675e-22
ENSG00000110013	437.8754	1.827662	0.12507237	3.225134e-50	1.0864519999999999e-48
ENSG00000110031	73.23798	1.66641	0.3116049	5.472002e-10	3.070695e-09
ENSG00000110042	515.3362	2.243222	0.16185361	2.602415e-45	7.390255e-44
ENSG00000110076	100.0918	1.035728	0.28700134	1.132124e-05	4.269409e-05
ENSG00000110092	615.7238	-2.415582	0.10845874	1.138578e-111	1.513417e-109
ENSG00000110104	2719.111	-1.639619	0.0508176	1.5331079999999998e-230	1.537637e-227
ENSG00000110148	117.7634	2.183356	0.2370654	5.816417000000001e-22	6.541245e-21
ENSG00000110172	2369.727	-1.46646	0.057764	1.738396e-144	4.1693159999999995e-142
ENSG00000110195	48.54414	1.856307	0.38185121	7.216132e-09	3.696006e-08
ENSG00000110318	331.6728	1.304261	0.13483704	3.318615e-24	4.148739e-23
ENSG00000110427	525.4809	1.499118	0.12411631	7.27139e-36	1.445434e-34
ENSG00000110455	319.7572	1.194819	0.13886259	1.1515839999999998e-19	1.1549860000000001e-18
ENSG00000110619	3034.25	1.835553	0.04991602	8.543584e-298	2.0946019999999998e-294
ENSG00000110628	86.23262	1.235625	0.28178375	1.628064e-07	7.393132e-07
ENSG00000110693	311.3937	1.007018	0.20610751	4.622658e-08	2.212558e-07
ENSG00000110721	964.3391	-1.220841	0.0831856	1.1344389999999998e-50	3.87483e-49
ENSG00000110723	165.7419	1.351079	0.21127835	1.289483e-12	8.698391e-12
ENSG00000110900	32.17676	1.414213	0.50120006	4.45058e-05	0.0001560497
ENSG00000111012	64.36825	-2.073154	0.32670861	2.218177e-12	1.474664e-11
ENSG00000111254	204.704	2.018985	0.182212	3.1158539999999997e-30	5.036726e-29
ENSG00000111262	42.07174	-1.091957	0.37740315	0.0001055599	0.0003513619
ENSG00000111641	3771.331	-1.536838	0.06551066	5.5471889999999995e-124	8.805664e-122
ENSG00000111664	139.7961	-1.377672	0.20656222	1.87696e-13	1.340729e-12
ENSG00000111799	441.3192	1.309342	0.15376571	1.4143609999999998e-19	1.405128e-18
ENSG00000111845	1186.714	-1.409629	0.07844368	1.820601e-74	1.112786e-72
ENSG00000111981	723.9461	2.58564	0.10051366	4.608254e-148	1.21049e-145
ENSG00000112297	71.19022	1.855219	0.35497313	1.155455e-09	6.312233e-09
ENSG00000112414	955.8121	1.641686	0.08850425	5.739533e-79	3.826067e-77
ENSG00000112539	20.5525	1.032191	0.56396889	0.002103207	0.00570254
ENSG00000112541	861.156	1.109892	0.09909015	1.013848e-30	1.6595370000000002e-29
ENSG00000112562	56.09043	4.323253	0.50351767	6.584625e-21	7.04606e-20
ENSG00000112578	2237.767	-1.031135	0.05542109	1.22974e-78	8.124013e-77
ENSG00000112699	841.4289	1.049291	0.09216779	1.8561950000000001e-31	3.121718e-30
ENSG00000112787	2892.986	-1.204437	0.06889441	2.65009e-70	1.45821e-68
ENSG00000112796	95.65862	1.156191	0.26488198	2.548236e-07	1.137734e-06
ENSG00000112981	60.92723	2.445176	0.38629906	1.472677e-12	9.894827e-12
ENSG00000113083	691.0286	1.296275	0.1034759	4.43545e-38	9.576144e-37
ENSG00000113108	709.743	1.227307	0.142974	1.147038e-19	1.15095e-18
ENSG00000113763	92.8797	1.49295	0.26614837	1.293252e-10	7.595317e-10
ENSG00000113805	4.043475	1.318989	1.44399919	0.0009294918	0.002671169
ENSG00000114648	1163.456	-1.032936	0.09419951	2.3114200000000001e-29	3.619694e-28
ENSG00000114686	5087.148	-1.00857	0.05013565	2.577803e-91	2.302802e-89
ENSG00000114767	778.787	-1.37247	0.09228033	3.016242e-52	1.0665609999999999e-50
ENSG00000114796	537.9459	1.099018	0.12333433	1.359191e-20	1.4260839999999998e-19
ENSG00000115350	675.82	-1.094834	0.11742453	3.099031e-22	3.541176e-21
ENSG00000115364	2816.304	-1.09819	0.06601807	1.062675e-63	5.031742e-62
ENSG00000115423	81.97125	1.95102	0.30248012	1.059985e-12	7.200917e-12
ENSG00000115594	98.33701	1.129701	0.28290605	1.499459e-06	6.223769e-06
ENSG00000115616	87.27471	1.969829	0.29651013	3.097158e-13	2.175701e-12
