"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"4641","ENSG00000197780",1176.588,-0.2811014,0.07083528,5.750546e-05,0.0001985693,"TAF13","DOWN"
"4642","ENSG00000197782",661.268,-0.4892636,0.11150684,5.575953e-06,2.185318e-05,"ZNF780A","DOWN"
"4643","ENSG00000197785",4184.747,-0.9400992,0.04466196,1.735869e-99,1.850336e-97,"ATAD3A","DOWN"
"4644","ENSG00000197798",786.1965,-0.3438616,0.08336865,2.622071e-05,9.476821e-05,"FAM118B","DOWN"
"4645","ENSG00000197822",1484.818,-0.2992809,0.08139128,0.0001811499,0.0005830034,"OCLN","DOWN"
"4646","ENSG00000197860",1098.344,-0.4473351,0.08627378,1.198503e-07,5.516263e-07,"SGTB","DOWN"
"4647","ENSG00000197894",3856.679,-0.6578482,0.0439391,3.23277e-51,1.125096e-49,"ADH5","DOWN"
"4648","ENSG00000197903",157.8052,-1.042677,0.1859881,7.668922e-10,4.253765e-09,"H2BC12","DOWN"
"4649","ENSG00000197905",1215.991,-0.5571028,0.07289958,8.662767e-15,6.74467e-14,"TEAD4","DOWN"
"4650","ENSG00000197912",2066.404,-0.7273238,0.08582701,5.026769e-18,4.642765e-17,"SPG7","DOWN"
"4651","ENSG00000197930",3429.622,-0.424424,0.04982721,9.706951e-18,8.825046e-17,"ERO1A","DOWN"
"4652","ENSG00000197951",414.705,-0.4229487,0.11271104,0.0001018061,0.0003396871,"ZNF71","DOWN"
"4653","ENSG00000197958",17489.81,-0.1864331,0.03931147,1.916635e-06,7.876804e-06,"RPL12","DOWN"
"4654","ENSG00000197961",1627.123,-0.6470845,0.11625035,7.449797e-09,3.805968e-08,"ZNF121","DOWN"
"4655","ENSG00000197965",2520.837,-0.2368845,0.05088054,2.75504e-06,1.117668e-05,"MPZL1","DOWN"
"4656","ENSG00000197978",251.7894,-0.3627559,0.16882895,0.0203374,0.04486102,"GOLGA6L9","DOWN"
"4657","ENSG00000197982",1603.493,-0.7262954,0.06867329,8.309369e-27,1.175296e-25,"C1orf122","DOWN"
"4658","ENSG00000197989",389.9547,-0.9666562,0.13418642,3.518568e-14,2.644314e-13,"SNHG12","DOWN"
"4659","ENSG00000198000",1923.086,-0.4618605,0.0686241,9.120345e-12,5.811158e-11,"NOL8","DOWN"
"4660","ENSG00000198015",3578.219,-0.6608163,0.06209482,5.365208e-27,7.637633e-26,"MRPL42","DOWN"
"4661","ENSG00000198018",1417.183,-0.4705885,0.07268724,5.005897e-11,3.030319e-10,"ENTPD7","DOWN"
"4662","ENSG00000198026",550.3008,-0.4124753,0.09853258,1.707486e-05,6.312948e-05,"ZNF335","DOWN"
"4663","ENSG00000198034",53354.21,-0.2333373,0.03172584,1.646043e-13,1.181521e-12,"RPS4X","DOWN"
"4664","ENSG00000198040",516.118,-0.3436269,0.12618816,0.004462469,0.01137659,"ZNF84","DOWN"
"4665","ENSG00000198042",1504.022,-0.781527,0.06689562,2.641469e-32,4.585681e-31,"MAK16","DOWN"
"4666","ENSG00000198055",2972.165,-0.4212389,0.05595043,3.077953e-14,2.32347e-13,"GRK6","DOWN"
